Date : 2025-10-29 01:41:54
Directory : e:\Documents\Programs\Chinese-Chess-v3
Total : 231 files,  10313 codes, 5802 comments, 2822 blanks, all 18937 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\InitializableOnceElement.cs                          | C#           |         25 |         31 |         15 |         71 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\BoardPanel.cs                                 | C#           |          0 |          8 |          1 |          9 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\GameMenuPanel.cs                              | C#           |          0 |          8 |          1 |          9 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\MainMenuPanel.cs                              | C#           |         87 |         25 |         17 |        129 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\Panels\SidebarPanel.cs                               | C#           |          0 |          8 |          1 |          9 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\SidebarConstants.cs                                  | C#           |          8 |          9 |          2 |         19 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\SidebarSettings.cs                                   | C#           |         23 |         16 |          9 |         48 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\StarfieldRenderer.cs                                 | C#           |        361 |        121 |         62 |        544 |
| e:\Documents\Programs\Chinese-Chess-v3\DEPRECATED\UIRenderContext.cs                                   | C#           |         12 |          8 |          4 |         24 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Configs\EngineSettings.cs                                | C#           |         11 |         12 |          6 |         29 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Geometry\LayoutF.cs                                      | C#           |         69 |         31 |         23 |        123 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Globals\GlobalWindow.cs                                  | C#           |         19 |         31 |          8 |         58 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsHelper.cs                          | C#           |         16 |          8 |          2 |         26 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\ApplyVerticalSkew.cs         | C#           |         19 |         12 |          4 |         35 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\InvertedRoundedRectPath.cs   | C#           |         24 |         56 |         12 |         92 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\RoundedRectPath.cs           | C#           |         31 |         14 |          7 |         52 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\GraphicsUtils\GraphicsPaths\ShieldPath.cs                | C#           |         25 |         11 |          7 |         43 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Logging\AppLogger.cs                                     | C#           |        141 |          8 |         20 |        169 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Logging\LogFileManager.cs                                | C#           |         13 |          8 |          3 |         24 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\MathUtil.cs                                  | C#           |         70 |         31 |         18 |        119 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\PositionHelper.cs                            | C#           |         12 |          8 |          2 |         22 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\RangeF.cs                                    | C#           |         18 |         26 |          6 |         50 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Mathematics\Vector2F.cs                                  | C#           |        169 |        244 |         51 |        464 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Physics\IPhysical2D.cs                                   | C#           |          7 |         19 |          2 |         28 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Physics\Physics2D.cs                                     | C#           |        202 |        187 |         66 |        455 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Physics\PhysicsRegistry.cs                               | C#           |         29 |         36 |         11 |         76 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\GlobalRandom.cs                            | C#           |          7 |         15 |          2 |         24 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\IRandomProvider.cs                         | C#           |         15 |         53 |         10 |         78 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\RandomTable.cs                             | C#           |         74 |         68 |         17 |        159 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\RandomTableThreadSafe.cs                   | C#           |         96 |         68 |         17 |        181 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Randomization\WeightedRandomSelector.cs                  | C#           |         29 |         21 |          8 |         58 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\SharedLib.csproj                                         | XML          |          9 |          1 |          1 |         11 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\BorderStyle.cs                                    | C#           |          9 |          8 |          3 |         20 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\DoubleBorderRoundedStyle.cs                       | C#           |         58 |         10 |         17 |         85 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\FontManager.cs                                    | C#           |         32 |          9 |          7 |         48 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\IBoxDrawStyle.cs                                  | C#           |         11 |          8 |          4 |         23 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\IBrushFactory.cs                                  | C#           |          9 |          8 |          4 |         21 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\IButtonDrawStyle.cs                               | C#           |         11 |          8 |          4 |         23 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\InwardCornerDialogStyle.cs                        | C#           |         29 |         17 |         11 |         57 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\LinearGradientBrushFactory.cs                     | C#           |         23 |         17 |          7 |         47 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\SingleBorderRoundedStyle.cs                       | C#           |         48 |         10 |         17 |         75 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\SolidBrushFactory.cs                              | C#           |         14 |          8 |          6 |         28 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Styles\StyleHelper.cs                                    | C#           |        130 |         22 |         14 |        166 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Timing\GlobalTime.cs                                     | C#           |          7 |         14 |          1 |         22 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Timing\ITimerProvider.cs                                 | C#           |         11 |         20 |          5 |         36 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Timing\TimerManager.cs                                   | C#           |         41 |         36 |         14 |         91 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\Timing\TimerSettings.cs                                  | C#           |         10 |         21 |          5 |         36 |
