"filename", "language", "XML", "Batch", "Markdown", "C#", "Shell Script", "comment", "blank", "total"
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Models\Star.cs", "C#", 0, 0, 0, 79, 0, 58, 16, 153
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Renderers\BackgroundRenderer.cs", "C#", 0, 0, 0, 43, 0, 34, 10, 87
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Renderers\FrameRenderer.cs", "C#", 0, 0, 0, 41, 0, 22, 7, 70
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Renderers\StarRenderer.cs", "C#", 0, 0, 0, 43, 0, 17, 7, 67
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\StarAnimation.cs", "C#", 0, 0, 0, 30, 0, 23, 10, 63
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\StarAnimation.csproj", "XML", 10, 0, 0, 0, 0, 1, 1, 12
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Utils\AreaHandler.cs", "C#", 0, 0, 0, 31, 0, 33, 7, 71
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Utils\Area\CircleAreaSelector.cs", "C#", 0, 0, 0, 43, 0, 9, 9, 61
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Utils\Area\CircleAreaShape.cs", "C#", 0, 0, 0, 28, 0, 26, 9, 63
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Utils\Area\IAreaSelector.cs", "C#", 0, 0, 0, 7, 0, 11, 1, 19
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Utils\Area\IAreaShape.cs", "C#", 0, 0, 0, 10, 0, 14, 5, 29
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Utils\Area\RectangleAreaSelector.cs", "C#", 0, 0, 0, 57, 0, 10, 10, 77
"e:\Documents\Programs\Chinese-Chess-v3\StarAnimation\Utils\Area\RectangleAreaShape.cs", "C#", 0, 0, 0, 17, 0, 8, 6, 31
"e:\Documents\Programs\Chinese-Chess-v3\git_push.sh", "Shell Script", 0, 0, 0, 0, 39, 15, 10, 64
"e:\Documents\Programs\Chinese-Chess-v3\run_csharp_main.bat", "Batch", 0, 3, 0, 0, 0, 0, 1, 4
"e:\Documents\Programs\Chinese-Chess-v3\run_git_push.bat", "Batch", 0, 3, 0, 0, 0, 0, 0, 3
"Total", "-", 39, 6, 46, 10183, 39, 5802, 2822, 18937
